ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
3,0,-1,5,2,0.07801547782889295,0.0780154754845058,46,4416,0
3,0,-1,5,8,1.0749837762724646e-05,3.8518598887744717e-32,642,63994,2
3,1,-1,6,2,0.09702519331203652,0.09702519311768823,58,5520,0
3,1,-1,6,8,2.4343606463972378e-08,9.860761315262648e-32,1157,150074,2
3,2,-1,6,2,0.04710642751798422,0.04710642646540817,39,3956,0
3,2,-1,6,8,5.685538800870304e-07,2.465190328815662e-32,1298,158050,2
3,3,-1,6,2,0.14833350508620946,0.1483335046510884,57,5428,0
3,3,-1,6,8,7.745857962260239e-07,6.162975822039155e-33,883,104980,2
3,4,-1,6,2,0.08779788150702006,0.08779787983532095,36,3496,0
3,4,-1,6,8,4.657095086235685e-07,2.465190328815662e-32,1023,123842,2
3,5,-1,6,2,0.05671762582954465,0.05671762515989344,35,3404,0
