ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
3,0,0.05,2,2,5.768796551564037e-11,4.349463024618353e-26,25,378,0
3,1,0.05,2,2,4.008859910697993e-11,1.3208876704533292e-14,25,420,0
3,2,0.05,2,2,1.1724177184646578e-11,7.562468211240586e-28,20,294,0
3,3,0.05,2,2,3.65329988483154e-12,2.2803880192999233e-17,22,336,0
3,4,0.05,2,2,4.183509094701776e-11,5.152114552695423e-27,17,266,0
3,5,0.05,2,2,1.1736389637917455e-11,1.8930231008112556e-17,22,420,0
3,6,0.05,2,2,1.806343963295376e-10,2.7884505506125453e-32,20,336,0
3,7,0.05,2,2,1.886080958080072e-09,1.7787509878537967e-09,17,280,0
3,8,0.05,2,2,8.769207582304261e-12,4.581057868402382e-24,39,812,0
3,9,0.05,2,2,2.0889068252927245e-11,2.9242686696905288e-27,21,322,0
3,10,0.05,2,2,1.6193824059484996e-10,1.109735906282879e-23,27,448,0
3,11,0.05,2,2,6.548528386218777e-11,6.449882402303956e-11,28,462,0
3,12,0.05,2,2,1.0005263284540433e-10,5.1237173801333455e-34,26,518,0
3,13,0.05,2,2,1.3258838471585932e-11,4.340079369835329e-13,22,378,0
3,14,0.05,2,2,8.344658297687602e-12,7.297527149096093e-21,19,294,0
3,15,0.05,2,2,1.2784218128558678e-10,1.542311779911531e-13,21,336,0
3,16,0.05,2,2,8.366152215444345e-11,2.3075486161150293e-33,21,350,0
3,17,0.05,2,2,1.4293488614924854e-10,3.826411504346e-33,29,518,0
3,18,0.05,2,2,2.515383346057831e-09,2.462000798357582e-09,29,504,0
3,19,0.05,2,2,2.4793500585928996e-12,5.334403474602944e-26,24,462,0
3,20,0.05,2,2,4.363953642894103e-11,1.0395692136860758e-31,18,280,0
3,21,0.05,2,2,5.289391147300648e-11,3.586850735553848e-33,19,392,0
3,22,0.05,2,2,4.7582160433989884e-11,2.802902387870417e-32,26,392,0
3,23,0.05,2,2,9.266587497336332e-12,3.450348747409162e-34,27,462,0
3,24,0.05,2,2,3.3309621727539707e-10,1.655548589748752e-24,18,322,0
