ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
2,0,-1,3,2,0.012245899456962528,0.012245899450597938,27,960,0
2,0,-1,3,4,7.550142733236953e-10,0.0,52,2040,0
2,1,-1,3,2,0.0032259681006570062,0.0032259676858997738,22,800,0
2,1,-1,3,4,8.509504212383945e-10,3.0814879110195774e-31,45,1564,0
2,2,-1,3,2,0.024772712569071542,0.02477271226010551,25,864,0
2,2,-1,3,4,2.4962623079716195e-09,0.0,37,1462,0
2,3,-1,3,2,0.0020007725139261634,0.0020007725120652093,30,1024,0
2,3,-1,3,4,2.0772961129011946e-10,1.232595164407831e-32,55,1938,0
2,4,-1,3,2,0.006311438766167576,0.0063114387610031,26,928,0
2,4,-1,3,4,7.011458080796729e-11,4.930380657631324e-32,47,1632,0
2,5,-1,3,2,0.015330832874570488,0.01533083247648429,21,832,0
2,5,-1,3,4,2.2462698368030942e-11,1.1093356479670479e-31,44,1700,0
2,6,-1,3,2,0.0028457871202263174,0.0028457869379811896,25,864,0
2,6,-1,3,4,2.288056411003936e-08,1.9721522630525295e-31,41,1462,0
2,7,-1,2,2,1.8156736868668588e-05,1.8156248261311825e-05,22,832,0
2,7,-1,3,2,0.0009214369849259718,0.0009214364122902728,22,800,0
2,8,-1,3,4,1.4495427080873924e-10,0.0,87,3230,0
2,8,-1,3,2,0.0009410959964297749,0.0009410956059884804,21,736,0
2,9,-1,3,4,7.909970456410065e-10,4.930380657631324e-32,83,3060,0
2,9,-1,3,2,0.009422160725925721,0.009422160608523526,33,1216,0
2,10,-1,3,4,1.5205792180950084e-10,1.1093356479670479e-31,46,1666,0
2,10,-1,3,2,0.0002358310433090427,0.0002358310236426403,32,1312,0
2,11,-1,3,4,4.772293671351235e-10,1.232595164407831e-32,82,2890,0
2,11,-1,3,2,0.0026400613757093794,0.002640060991764341,47,1792,0
2,12,-1,3,4,2.148860667183783e-08,4.930380657631324e-32,68,2550,0
2,12,-1,3,2,0.003431726245320732,0.003431726136603041,21,736,0
2,13,-1,3,4,2.1546597839261494e-10,0.0,54,2244,0
2,13,-1,3,2,0.0005131381716676486,0.0005131223938637596,46,1824,0
2,14,-1,3,4,8.599254641694642e-11,2.7733391199176196e-32,122,4488,0
2,14,-1,3,2,0.029443503759315925,0.02944350267602359,27,928,0
2,15,-1,3,4,5.536948677331566e-11,3.0814879110195774e-33,44,1802,0
2,15,-1,3,2,0.0009207191920488356,0.0009207191748734438,23,800,0
2,16,-1,3,4,2.343960581185911e-10,4.930380657631324e-32,65,2346,0
2,16,-1,2,2,0.00014574301158121195,0.0001457429302178214,29,960,0
2,17,-1,3,2,0.0005575305346618986,0.0005575302156612344,22,800,0
2,17,-1,3,4,3.141356064162437e-09,0.0,44,1598,0
2,18,-1,3,2,0.0021038025468502752,0.0021038025264297224,26,864,0
2,18,-1,3,4,5.234879196791553e-11,4.930380657631324e-32,56,1972,0
2,19,-1,3,2,0.0020639588997934943,0.002063958484163329,39,1408,0
2,19,-1,3,4,4.5533399273267605e-10,1.509929076399593e-31,84,3026,0
2,20,-1,4,2,0.007794153813776572,0.007794153799513552,24,800,0
2,20,-1,4,4,1.920474890226842e-10,3.0814879110195774e-31,52,1938,0
2,21,-1,2,2,0.00013842806829367227,0.00013842806139110177,25,928,0
2,21,-1,4,2,0.03075534165819005,0.030755341206490316,26,896,0
2,22,-1,4,4,4.623468274900233e-11,4.930380657631324e-32,47,1734,0
2,22,-1,3,2,0.006964206345787982,0.0069642063387518926,40,1408,0
2,23,-1,3,4,3.840283646638909e-11,4.930380657631324e-32,60,2142,0
