ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
3,0,-1,5,1,0.07801547548451349,0.07801547548450588,47,9412,0
3,0,-1,5,3,3.6837199957062694e-13,9.860761315262648e-32,282,88900,0
3,1,-1,6,1,0.09702519311769398,0.0970251931176885,37,11414,0
3,1,-1,6,3,2.999167580952644e-11,2.465190328815662e-32,286,91056,0
3,2,-1,6,1,0.04710642646540819,0.047106426465408135,44,18293,0
3,2,-1,6,3,4.796163466380676e-14,6.162975822039155e-33,370,110309,0
3,3,-1,6,1,0.1483335046510953,0.14833350465108863,45,8869,0
3,3,-1,6,3,4.163336342344337e-15,7.549645381997965e-32,213,58265,0
3,4,-1,6,1,0.08779787983532183,0.08779787983532117,40,7964,0
3,4,-1,6,3,3.8746783559417963e-14,1.3866695599588098e-32,281,83209,0
3,5,-1,6,1,0.05671762515989576,0.05671762515989348,33,11403,0
3,5,-1,6,3,1.6653345369377348e-14,2.465190328815662e-32,241,68846,0
3,6,-1,5,1,0.05953800412796595,0.05953800412796509,36,11584,0
3,6,-1,5,3,9.459100169806334e-14,9.860761315262648e-32,315,95675,0
3,7,-1,6,1,0.09763128658751263,0.09763128658751088,41,8869,0
3,7,-1,6,3,1.3108403251749223e-12,2.465190328815662e-32,248,70731,0
3,8,-1,6,1,0.054558564222442985,0.05455856422244251,46,9593,0
3,8,-1,6,3,1.7341683644644945e-13,6.162975822039155e-33,368,112743,0
3,9,-1,6,1,0.08391305123825687,0.0839130512382561,36,13394,0
3,9,-1,6,3,1.5608625503205076e-12,2.465190328815662e-32,253,77777,0
3,10,-1,6,1,0.07090004765320601,0.0709000476532045,49,9774,0
3,10,-1,6,3,4.9404924595819466e-14,9.860761315262648e-32,315,93236,0
3,11,-1,6,1,0.06119512991580833,0.06119512991580363,46,8688,0
3,11,-1,6,3,1.1959322421262186e-12,1.3866695599588098e-32,304,89430,0
3,12,-1,6,1,0.08825542475855008,0.08825542475854845,49,17939,0
3,12,-1,6,3,1.354472090042691e-14,2.465190328815662e-32,246,82947,0
3,13,-1,5,1,0.04963416786895247,0.04963416786895064,35,7240,0
3,13,-1,5,3,7.849276784099857e-13,5.546678239835239e-32,280,89442,0
3,14,-1,5,1,0.091585128100234,0.09158512810022523,48,10136,0
3,14,-1,5,3,1.3877787807814457e-14,1.3866695599588098e-32,252,74808,0
3,15,-1,6,1,0.07833327534850576,0.07833327534849852,40,7602,0
3,15,-1,6,3,4.2743586448068527e-14,7.549645381997965e-32,248,76693,0
3,16,-1,6,1,0.06887975163505367,0.06887975163504166,36,7059,0
3,16,-1,6,3,2.8754776337791554e-14,2.2186712959340957e-31,311,89453,0
3,17,-1,6,1,0.048400169202537535,0.04840016920253588,43,8869,0
3,17,-1,6,3,2.8754776337791554e-14,1.5407439555097887e-33,292,82667,0
3,18,-1,5,1,0.05157741663511384,0.05157741663511216,37,7783,0
3,18,-1,5,3,1.8463008899516353e-11,5.546678239835239e-32,278,81842,0
3,19,-1,5,1,0.03822785054062394,0.03822785054061942,49,10317,0
3,19,-1,5,3,4.047429058573471e-12,3.019858152799186e-31,396,114091,0
3,20,-1,6,1,0.11808732845496905,0.11808732845496367,41,8869,0
3,20,-1,6,3,2.1271207018003224e-11,5.546678239835239e-32,464,140390,0
3,21,-1,6,1,0.07488489471414683,0.07488489471414309,36,6878,0
3,21,-1,6,3,7.387424005855792e-13,3.8518598887744717e-32,331,97831,0
3,22,-1,6,1,0.08632696025948183,0.0863269602594806,40,8145,0
3,22,-1,6,3,7.832623438730479e-13,1.3866695599588098e-32,266,78867,0
3,23,-1,5,1,0.09278711629183733,0.09278711629183399,39,12319,0
3,23,-1,5,3,6.084022174945858e-14,2.2186712959340957e-31,360,98915,0
3,24,-1,5,1,0.11520755175917463,0.11520755175916805,39,7421,0
3,24,-1,5,3,6.540112895692118e-11,6.162975822039155e-33,239,73182,0
