ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
8,0,0.05,2,1,5.579839142844101e-05,5.579619568826411e-05,811,76833,0
8,1,0.05,4,1,0.004647581458529393,0.004647322422349411,229,21182,3
8,1,0.05,4,2,2.6499610483732283e-07,4.158669419644604e-14,1257,114976,3
8,2,0.05,2,1,3.2901035809107526e-06,3.26490550536191e-06,495,43739,3
8,3,0.05,4,1,0.14738983234497072,0.14738982738363643,796,65335,0
8,3,0.05,4,2,3.1398924926762106e-07,2.7390547362252743e-07,511,51558,3
8,4,0.05,2,1,4.268011700392371e-05,4.265687327101616e-05,1442,125644,3
8,5,0.05,2,1,7.812587294075968e-05,7.782023292493177e-05,767,67611,3
8,6,0.05,2,1,2.906721426865211e-05,2.8994059399840563e-05,1044,89206,3
8,7,0.05,4,1,0.031730321379160986,0.031730321070644246,425,36658,0
