ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
7,0,10,2,0.10851802101848584,0.10851801863126352,310,21012,0
7,0,10,16,0.004639067471152003,6.612307959119124e-05,246,17780,3
7,1,10,2,0.11339259275049862,0.11339259223055936,415,33168,1
7,1,10,16,2.9793206361317104e-05,7.987754765184929e-06,821,70422,3
7,2,4,2,0.036234428365471194,0.036234427789541224,263,18840,0
7,2,4,4,6.02280589353521e-05,6.022592025728917e-05,447,33342,0
7,3,8,2,0.04697871264077902,0.04697870528007253,216,14958,0
7,3,8,8,0.001024116780232509,0.0005571480773309317,691,59178,3
7,4,6,2,0.01443533775235284,0.014435337218792085,180,13182,0
7,4,6,8,0.00033348738262306554,1.1357843976897863e-05,535,38700,3
7,5,8,2,0.12070162492816927,0.1207016233727641,432,29514,0
7,5,8,8,1.0611142386984795e-05,4.794490120566347e-06,711,55770,3
7,6,6,2,0.026683643661504775,0.02668364320594406,218,14304,0
7,6,6,8,0.00010858060321750074,6.727976177099595e-05,573,43800,3
7,7,10,2,0.08293905229613974,0.08293905097536228,445,29994,0
7,7,10,16,0.026342125751671885,1.9617057353197295e-06,296,21560,3
7,8,12,2,0.15227684944306008,0.152276845648831,334,22638,0
7,8,12,16,1.2627898499595336e-05,1.2261075043828082e-05,1113,106410,3
7,9,6,2,0.05658260530163939,0.05658260468657126,568,45224,2
7,9,6,8,2.4363774964175633e-06,1.2900851203517291e-06,682,53236,3
7,10,10,2,0.038766297939581196,0.03876629749848762,573,40740,1
7,10,10,16,0.0004515556753255101,2.6407065141373828e-05,1310,137686,3
7,11,14,2,0.15690330920933865,0.15690330381770515,302,19864,0
7,11,14,16,0.0020495196042183417,0.0007102556675754265,860,76538,3
