ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
7,0,0.5,10,1,0.10851801863145161,0.10851801863126352,166,13068,0
7,0,0.5,10,4,0.004880959899583648,6.612307959119124e-05,359,33943,3
7,1,0.5,10,1,0.11339259227236498,0.11339259223055936,515,38208,0
7,1,0.5,10,4,2.683070918357844e-05,7.987754765184929e-06,2393,237249,3
7,2,0.5,4,1,0.03623442780491948,0.036234427789541224,506,37440,0
7,2,0.5,4,2,6.022592422250117e-05,6.022592025728917e-05,485,39785,0
7,3,0.5,8,1,0.04697870528119619,0.04697870528007253,191,13696,0
7,3,0.5,8,3,0.0010915326939451298,0.0005571480773309317,1680,180143,3
7,4,0.5,6,1,0.01443533721945578,0.014435337218792085,202,14464,0
7,4,0.5,6,3,2.189027318821868e-05,1.1357843976897863e-05,1157,101680,3
7,5,0.5,8,1,0.1207016233735484,0.1207016233727641,440,31488,0
7,5,0.5,8,3,4.930122433466355e-06,4.794490120566347e-06,1521,140220,3
7,6,0.5,6,1,0.026683643206050434,0.02668364320594406,141,10048,0
7,6,0.5,6,3,0.00011432828469848388,6.727976177099595e-05,802,71668,3
7,7,0.5,10,1,0.08293905101465926,0.08293905097536228,501,36928,0
7,7,0.5,10,4,1.2415175886737462e-05,1.9617057353197295e-06,1088,110565,3
7,8,0.5,12,1,0.1522768456494279,0.152276845648831,291,20608,0
7,8,0.5,12,4,1.3466988432908611e-05,1.2261075043828082e-05,1027,109200,3
7,9,0.5,6,1,0.05658279205689265,0.05658260468657126,143,11392,3
7,9,0.5,6,3,1.4596164187308247e-06,1.2900851203517291e-06,2105,202229,3
7,10,0.5,10,1,0.03876629750842042,0.03876629749848762,388,30597,0
7,10,0.5,10,4,0.0005079849308333717,2.6407065141373828e-05,2094,205387,3
7,11,0.5,14,1,0.15690330382386358,0.15690330381770515,269,18624,0
7,11,0.5,14,4,0.002265413363802038,0.0007102556675754265,1049,104571,3
