ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
1,0,-1,1,2,3.3439473412499865e-11,9.860761315262648e-32,9,65,0
1,1,-1,1,2,6.607825397964007e-12,2.465190328815662e-32,9,50,0
1,2,-1,2,2,2.2493118478905672e-13,0.0,12,80,0
1,3,-1,2,2,5.185185614209331e-12,9.860761315262648e-32,14,85,0
1,4,-1,1,2,1.1839795810431042e-10,0.0,11,70,0
1,5,-1,1,2,2.802202914153895e-13,6.162975822039155e-33,7,40,0
1,6,-1,2,2,5.773159728050814e-14,9.860761315262648e-32,11,90,0
1,7,-1,2,2,6.35247632274627e-10,6.162975822039155e-33,13,80,0
1,8,-1,2,2,2.1064772148804423e-10,6.162975822039155e-33,11,95,0
1,9,-1,1,2,4.92739182789137e-12,6.162975822039155e-33,9,105,0
1,10,-1,2,2,1.9337864642920977e-12,2.465190328815662e-32,10,80,0
1,11,-1,1,2,3.1086244689504383e-15,2.465190328815662e-32,13,95,0
1,12,-1,2,2,2.2233326291143385e-12,1.5407439555097887e-31,9,80,0
1,13,-1,1,2,1.9761969838327786e-14,6.162975822039155e-33,12,105,0
1,14,-1,2,2,5.611067166455541e-13,6.162975822039155e-33,9,80,0
1,15,-1,2,2,5.329070518200751e-15,2.465190328815662e-32,11,65,0
1,16,-1,2,2,2.6131097285997384e-11,9.860761315262648e-32,9,65,0
1,17,-1,2,2,4.96269692007445e-13,2.465190328815662e-32,18,115,0
1,18,-1,2,2,4.171107903516713e-12,6.162975822039155e-33,10,65,0
1,19,-1,2,2,1.7763568394002505e-15,9.860761315262648e-32,18,135,0
1,20,-1,2,2,5.1571857895282847e-11,2.465190328815662e-32,15,110,0
1,21,-1,2,2,1.3566925360919413e-12,9.860761315262648e-32,11,85,0
1,22,-1,2,2,5.1514348342607263e-14,2.465190328815662e-32,7,45,0
1,23,-1,1,2,5.708766792622555e-13,0.0,9,80,0
1,24,-1,2,2,2.2493118478905672e-13,0.0,10,80,0
