ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
7,0,0.05,2,2,3.353458244426122e-08,3.293418105600335e-08,238,16764,0
7,1,0.05,2,2,5.80005937877992e-06,2.019613783084962e-21,310,23858,3
7,2,0.05,2,2,1.20651688639839e-09,1.0300034579096012e-10,221,15334,0
7,3,0.05,2,2,1.2657103891644539e-06,7.204284738620039e-07,440,31140,3
7,4,0.05,2,2,0.37460399205625095,2.422908376986476e-06,96,6384,3
7,5,0.05,2,2,1.2343471800235761e-09,4.2454862785677266e-11,209,14642,0
7,6,0.05,4,2,0.1746849455780214,0.17468494374845459,333,27336,1
7,6,0.05,4,4,0.000496844314901379,3.926284596890244e-22,250,17112,3
7,7,0.05,2,2,2.4326465226542915e-05,2.3768172993908075e-05,258,17442,3
7,8,0.05,2,2,1.4094887519355837e-06,1.407612805550364e-06,376,24510,0
7,9,0.05,2,2,2.0316591631264203e-08,1.999579088274147e-08,235,15648,0
7,10,0.05,2,2,1.1410208333728633e-09,9.211547480026861e-10,218,15010,0
7,11,0.05,2,2,3.821766756506584e-06,1.6444219061066302e-06,388,34134,3
7,12,0.05,2,2,2.4881060989301318e-08,1.1709213531218826e-10,298,20196,3
