ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
2,0,-1,3,1,0.012245899450598507,0.012245899450597977,27,1891,0
2,0,-1,3,2,5.706546346573305e-14,1.232595164407831e-32,46,10175,0
2,1,-1,3,1,0.003225967685900555,0.003225967685899774,25,3855,0
2,1,-1,3,2,4.196643033083092e-14,3.0814879110195774e-31,38,7029,0
2,2,-1,3,1,0.024772712260106022,0.024772712260105544,25,2623,0
2,2,-1,3,2,5.551115123125783e-16,1.232595164407831e-32,40,8000,0
2,3,-1,3,1,0.002000772512072979,0.0020007725120652136,25,1952,0
2,3,-1,3,2,5.773159728050814e-15,1.232595164407831e-32,48,7514,0
2,4,-1,3,1,0.006311438761003263,0.0063114387610031,26,1708,0
2,4,-1,3,2,1.5187850976872141e-13,4.930380657631324e-32,54,10418,0
2,5,-1,3,1,0.015330832476485368,0.015330832476484217,20,1342,0
2,5,-1,3,2,2.9976021664879227e-15,1.232595164407831e-32,35,6182,0
2,6,-1,3,1,0.0028457869379816536,0.0028457869379811896,25,1769,0
2,6,-1,3,2,2.6645352591003757e-15,1.9721522630525295e-31,43,6667,0
2,7,-1,2,1,1.815624826240203e-05,1.8156248261311567e-05,21,1891,0
2,8,-1,3,1,0.0009214364122924756,0.0009214364122902736,23,1708,0
2,8,-1,3,2,7.993605777301127e-15,0.0,54,8724,0
2,9,-1,3,1,0.0009410956059887621,0.0009410956059884789,22,1891,0
2,9,-1,3,2,1.3322676295501878e-15,4.930380657631324e-32,48,7393,0
2,10,-1,3,1,0.009422160608530517,0.009422160608523534,26,3977,0
2,10,-1,3,2,2.5091040356528538e-14,1.232595164407831e-32,53,12242,0
2,11,-1,3,1,0.00023583102364344022,0.0002358310236426403,24,1708,0
2,11,-1,3,2,2.3092638912203256e-14,1.232595164407831e-32,59,10780,0
2,12,-1,3,1,0.0026400609917658358,0.002640060991764337,43,2867,0
2,12,-1,3,2,1.021405182655144e-14,4.930380657631324e-32,53,8119,0
2,13,-1,3,1,0.003431726136604585,0.003431726136603006,22,1464,0
2,13,-1,3,2,3.3306690738754696e-16,1.9721522630525295e-31,38,6058,0
2,14,-1,3,1,0.0005131223938674712,0.0005131223938637572,42,3111,0
2,14,-1,3,2,4.6629367034256575e-15,3.0814879110195774e-33,65,9328,0
2,15,-1,3,1,0.029443502676024025,0.02944350267602359,30,2074,0
2,15,-1,3,2,1.3287149158713873e-12,3.0814879110195774e-33,56,8228,0
2,16,-1,3,1,0.000920719174876572,0.0009207191748734432,22,3062,0
2,16,-1,3,2,1.9095836023552692e-14,4.930380657631324e-32,60,9208,0
2,17,-1,2,1,0.00014574293021984985,0.00014574293021782573,27,1952,0
2,18,-1,3,1,0.0005575302156626272,0.0005575302156612484,22,1586,0
2,18,-1,3,2,2.886579864025407e-15,7.703719777548943e-32,45,8603,0
2,19,-1,3,1,0.0021038025264306093,0.002103802526429731,20,1403,0
2,19,-1,3,2,4.218847493575595e-15,1.509929076399593e-31,45,8361,0
2,20,-1,3,1,0.002063958484166184,0.0020639584841632727,35,2623,0
2,20,-1,3,2,2.220446049250313e-15,1.1093356479670479e-31,58,10297,0
2,21,-1,4,1,0.00779415379951387,0.007794153799513562,30,2501,0
2,21,-1,4,2,0.0,1.9721522630525295e-31,37,6304,0
2,22,-1,2,1,0.0001384280613923039,0.00013842806139110174,23,1891,0
2,23,-1,4,1,0.03075534120649115,0.030755341206490247,29,1891,0
2,23,-1,4,2,4.440892098500626e-16,4.437342591868191e-31,32,4852,0
2,24,-1,3,1,0.006964206338752943,0.0069642063387519194,33,2318,0
2,24,-1,3,2,1.6719958750854857e-13,3.0814879110195774e-33,45,7986,0
