ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
6,0,0.05,2,1,9.224658967799115e-07,9.22313614731203e-07,242,18382,0
6,1,0.05,1,1,2.643240715194395e-08,8.768525784690091e-15,112,8415,2
6,2,0.05,2,1,0.00011254133006199929,0.00011254125533535859,155,10627,0
6,3,0.05,1,1,7.764118459263614e-09,7.749398312460837e-15,678,49885,0
6,4,0.05,1,1,2.1014954221243443e-09,3.293082003987805e-12,179,12870,0
6,5,0.05,2,1,5.146620019047532e-09,1.8052240686116705e-15,538,37862,0
6,6,0.05,1,1,5.166782557353145e-10,1.1637668353665174e-27,165,11880,0
6,7,0.05,1,1,4.357449956415849e-09,7.234765696310098e-22,190,13145,0
6,8,0.05,2,1,2.5976332196364638e-11,2.356499933005738e-11,129,9417,0
6,9,0.05,2,1,2.4379387397743812e-11,1.4497439040501058e-15,300,20639,0
6,10,0.05,2,1,2.228667872472556e-08,2.2286623205519828e-08,95,7492,0
6,11,0.05,2,1,7.383649247572066e-12,3.214718494885054e-15,90,7602,0
6,12,0.05,2,1,3.4020253281141777e-10,2.6481405619164186e-21,84,7601,0
6,13,0.05,1,1,2.4794244435355495e-09,3.6880498417745724e-21,1164,84002,0
6,14,0.05,2,1,2.3284152383951096e-10,2.3275528889367226e-10,116,8085,0
6,15,0.05,2,1,4.885001514409737e-09,1.3587928927901681e-13,140,11782,0
6,16,0.05,1,1,4.394974020272002e-07,3.6902887484641526e-07,809,57157,2
6,17,0.05,2,1,1.0527134719495734e-12,5.291665261449181e-16,131,11838,0
6,18,0.05,2,1,4.4537533083754965e-06,4.453753254685986e-06,115,8855,0
6,19,0.05,2,1,0.00014710699513886816,0.00014710699507415446,78,4895,0
6,20,0.05,1,1,3.8954430792159656e-09,1.3098958844252402e-11,294,20845,0
6,21,0.05,1,1,3.578387011149431e-07,3.349519412478145e-07,362,24420,2
6,22,0.05,1,1,1.339552913037778e-10,5.560138636431273e-13,175,11337,0
6,23,0.05,2,1,2.8446067723564283e-10,2.311884791957833e-20,179,15687,0
6,24,0.05,1,1,1.142076300197914e-08,1.1420159271758236e-08,136,13104,0
