ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
2,0,-1,3,2,0.012245899519708114,0.012245899450598004,28,1024,0
2,0,-1,3,4,2.4215740523914064e-10,2.7733391199176196e-32,52,1938,0
2,1,-1,3,2,0.0032259677060513248,0.003225967685899774,23,800,0
2,1,-1,3,4,1.4877432619186948e-11,2.4960052079258577e-31,83,2890,0
2,2,-1,3,2,0.024772712282989384,0.02477271226010551,31,1152,0
2,2,-1,3,4,2.2027712986982806e-11,1.232595164407831e-32,42,1530,0
2,3,-1,3,2,0.0020007726990554087,0.0020007725120652366,32,1216,0
2,3,-1,3,4,8.566354292582901e-10,4.930380657631324e-32,108,3944,0
2,4,-1,3,2,0.0063114388305332,0.006311438761003114,25,864,0
2,4,-1,3,4,5.6632032396919385e-11,1.1093356479670479e-31,49,1802,0
2,5,-1,3,2,0.015330832734598454,0.015330832476484316,22,768,0
2,5,-1,3,4,6.04696293038387e-11,1.1093356479670479e-31,40,1564,0
2,6,-1,3,2,0.0028457870687186304,0.0028457869379811982,27,992,0
2,6,-1,3,4,8.642975224404381e-11,1.9721522630525295e-31,49,1734,0
2,7,-1,2,2,1.815625777412677e-05,1.815624826131207e-05,22,800,0
2,8,-1,3,2,0.0009214364333112179,0.0009214364122902809,29,1120,0
2,8,-1,3,4,5.109024314720045e-12,1.232595164407831e-32,110,4148,0
2,9,-1,3,2,0.0009410956942057513,0.0009410956059884863,21,768,0
2,9,-1,3,4,8.448775012936949e-11,1.232595164407831e-32,57,2074,0
2,10,-1,3,2,0.00942216063498269,0.00942216060852351,27,992,0
2,10,-1,3,4,4.132361119957295e-10,0.0,49,1802,0
2,11,-1,3,2,0.0002358310364831695,0.00023583102364264024,30,1120,0
2,11,-1,3,4,4.0793461875132664e-07,1.232595164407831e-32,51,1972,0
2,12,-1,3,2,0.0026400610056773743,0.0026400609917643265,51,1792,0
2,12,-1,3,4,4.755498217434706e-10,1.1093356479670479e-31,134,5032,0
2,13,-1,3,2,0.0034317264972798522,0.003431726136603046,24,832,0
2,13,-1,3,4,1.0186451682159259e-10,1.232595164407831e-32,59,2108,0
2,14,-1,3,2,0.0005131225852086363,0.0005131223938637612,49,1664,0
2,14,-1,3,4,2.2268342725340062e-10,2.7733391199176196e-32,108,3978,0
2,15,-1,3,2,0.029443502758293993,0.02944350267602361,24,800,0
2,15,-1,3,4,2.0041246440172245e-10,1.232595164407831e-32,44,1564,0
2,16,-1,3,2,0.0009207191967577355,0.0009207191748734421,25,896,0
2,16,-1,3,4,8.035350163027033e-11,4.930380657631324e-32,63,2210,0
2,17,-1,2,2,0.00014574293226266022,0.00014574293021782562,24,832,0
2,18,-1,3,2,0.0005575304187097618,0.0005575302156612322,24,864,0
2,18,-1,3,4,2.8676350183332033e-10,3.0814879110195774e-33,79,2856,0
2,19,-1,3,2,0.00210380274402433,0.0021038025264297263,24,864,0
2,19,-1,3,4,7.898992571142571e-11,4.930380657631324e-32,56,1972,0
2,20,-1,3,2,0.0020639584999000427,0.002063958484163306,57,2016,0
2,20,-1,3,4,2.2208035410642424e-10,1.232595164407831e-32,79,2958,0
2,21,-1,4,2,0.007794153993593178,0.007794153799513637,24,928,0
2,21,-1,4,4,6.613214420525537e-10,0.0,57,2176,0
2,22,-1,2,2,0.00013842829438082127,0.000138428061391101,29,1120,0
2,23,-1,4,2,0.03075534123131196,0.030755341206490365,28,992,0
2,23,-1,4,4,1.6509649203300114e-10,0.0,50,1904,0
2,24,-1,3,2,0.0069642063563133405,0.006964206338751889,30,1024,0
2,24,-1,3,4,1.1076983774671589e-10,1.232595164407831e-32,63,2312,0
