ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
1,0,-1,1,2,5.005995618034831e-12,9.860761315262648e-32,12,80,0
1,0,-1,1,2,4.178879464689089e-13,2.465190328815662e-32,9,60,0
1,1,-1,2,2,3.0802027595200343e-12,0.0,12,95,0
1,1,-1,2,2,1.120952219935134e-10,9.860761315262648e-32,13,85,0
1,2,-1,1,2,1.750910527675842e-11,0.0,11,70,0
1,2,-1,1,2,9.930056776852325e-12,6.162975822039155e-33,7,45,0
1,3,-1,2,2,4.9187320882992935e-12,9.860761315262648e-32,12,95,0
1,3,-1,2,2,1.5845302847594667e-10,6.162975822039155e-33,13,75,0
1,4,-1,2,2,1.7044143874045403e-12,6.162975822039155e-33,11,85,0
1,4,-1,1,2,4.742495285370296e-11,6.162975822039155e-33,8,50,0
1,5,-1,2,2,3.4632297030157133e-12,2.465190328815662e-32,9,70,0
1,5,-1,1,2,6.9682037917573325e-12,2.465190328815662e-32,11,90,0
1,6,-1,2,2,9.681144774731365e-14,1.5407439555097887e-31,10,80,0
1,6,-1,1,2,6.905587213168474e-14,6.162975822039155e-33,11,95,0
1,7,-1,2,2,2.8678837082907194e-11,6.162975822039155e-33,9,115,0
1,7,-1,2,2,2.7822188997106423e-12,2.465190328815662e-32,9,55,0
1,8,-1,2,2,5.706546346573305e-13,9.860761315262648e-32,12,80,0
1,8,-1,2,2,2.7777780076121417e-12,2.465190328815662e-32,20,110,0
1,9,-1,2,2,4.965405864254535e-11,6.162975822039155e-33,10,90,0
1,9,-1,2,2,3.501354761681341e-11,9.860761315262648e-32,19,120,0
1,10,-1,2,2,2.8548274855211275e-12,2.465190328815662e-32,12,70,0
1,10,-1,2,2,1.22371002220234e-11,9.860761315262648e-32,9,70,0
1,11,-1,2,2,7.593925488436071e-13,2.465190328815662e-32,9,60,0
1,11,-1,1,2,1.163424911965194e-11,0.0,10,75,0
1,12,-1,2,2,2.2609691896491313e-11,0.0,19,135,0
