ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
3,0,-1,6,2,0.002077087010696421,0.002077087003071675,40,630,0
3,0,-1,6,8,4.3124837034724806e-11,6.162975822039155e-33,54,1350,0
3,1,-1,2,2,0.00033400952692763664,0.0003340095232435517,18,336,0
3,1,-1,6,2,0.014124107426807364,0.014124107425875079,19,308,0
3,2,-1,6,8,4.3186565434893964e-12,2.465190328815662e-32,47,1020,0
3,2,-1,2,2,0.0005628245903035456,0.0005628245516074963,26,434,0
3,3,-1,2,2,8.888472047274831e-08,8.868917570245244e-08,28,504,0
3,3,-1,4,2,0.002666325206331588,0.0026663251966855725,22,350,0
3,4,-1,4,4,0.00025558146596316167,0.0002555814644754765,53,960,0
3,4,-1,4,2,0.0010227511659387512,0.0010227511227461053,26,490,0
3,5,-1,4,4,0.00011061239725251859,0.00011061238491734632,65,1446,0
3,5,-1,2,2,3.182330418727286e-05,3.182329195441075e-05,21,322,0
3,6,-1,4,2,0.0012964124429342139,0.0012964124141227,21,434,0
3,6,-1,4,4,1.1936290681968664e-05,1.1936101615783187e-05,50,896,0
3,7,-1,2,2,0.00013253956671999134,0.00013253954384718252,21,322,0
3,7,-1,2,2,3.016407490452622e-08,3.0163691588732734e-08,18,308,0
3,8,-1,4,2,0.03303601644344034,0.03303601643697484,27,588,0
3,8,-1,4,4,2.944275758753889e-07,2.944017373277127e-07,31,544,0
3,9,-1,6,2,0.004696812322365518,0.004696812292848184,21,336,0
3,9,-1,6,8,7.991006856222782e-09,5.546678239835239e-32,70,1950,1
3,10,-1,2,2,1.1749918815140425e-05,1.1749918557789881e-05,19,336,0
3,10,-1,6,2,0.051421563767028666,0.05142156376696615,23,364,0
3,11,-1,6,8,1.1534773136645526e-11,2.465190328815662e-32,41,860,0
3,11,-1,4,2,0.0005558224716659677,0.0005558224702584453,17,252,0
3,12,-1,4,4,1.7469123345992266e-05,1.7469108380721222e-05,36,688,0
3,12,-1,2,2,0.0001080757738451954,0.00010807574069411112,20,350,0
3,13,-1,2,2,9.597600816824148e-05,9.597577275868174e-05,17,280,0
3,13,-1,6,2,0.06443841158666042,0.06443841157298635,29,448,0
3,14,-1,6,8,6.432621102447911e-11,6.162975822039155e-33,35,720,0
3,14,-1,4,2,0.0013017013315789194,0.0013017013282622383,32,546,0
3,15,-1,4,4,2.990751086784371e-07,2.9868981480059066e-07,35,608,0
3,15,-1,4,2,0.01924327716533969,0.019243277163721033,17,294,0
3,16,-1,4,4,3.0947043942797237e-05,3.094701536968853e-05,32,544,0
3,16,-1,2,2,0.0002218056929881307,0.00022180569246522594,18,280,0
3,17,-1,4,2,0.0026847500518210055,0.0026847500367982047,19,322,0
3,17,-1,4,4,8.154413297922769e-05,8.154410200194114e-05,39,688,0
3,18,-1,2,2,0.0004387073547460485,0.0004387073544568688,19,308,0
3,18,-1,2,2,0.0002857291333965284,0.00028572913112198347,19,294,0
