ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
1,0,-1,1,1,2.042810365310288e-14,9.860761315262648e-32,20,649,0
1,1,-1,1,1,2.220446049250313e-16,2.465190328815662e-32,17,507,0
1,2,-1,2,1,0.0,0.0,12,332,0
1,3,-1,2,1,-2.220446049250313e-16,9.860761315262648e-32,11,332,0
1,4,-1,1,1,0.0,0.0,30,716,0
1,5,-1,1,1,1.3322676295501878e-15,6.162975822039155e-33,18,518,0
1,6,-1,2,1,-2.220446049250313e-16,9.860761315262648e-32,12,300,0
1,7,-1,2,1,6.661338147750939e-16,6.162975822039155e-33,19,652,0
1,8,-1,2,1,0.0,6.162975822039155e-33,8,316,0
1,9,-1,1,1,1.3322676295501878e-15,6.162975822039155e-33,29,940,0
1,10,-1,2,1,0.0,2.465190328815662e-32,14,611,0
1,11,-1,1,1,6.661338147750939e-16,2.465190328815662e-32,13,411,0
1,12,-1,2,1,-4.440892098500626e-16,1.5407439555097887e-31,15,476,0
1,13,-1,1,1,0.0,6.162975822039155e-33,17,636,0
1,14,-1,2,1,6.661338147750939e-16,6.162975822039155e-33,14,348,0
1,15,-1,2,1,0.0,2.465190328815662e-32,10,380,0
1,16,-1,2,1,0.0,9.860761315262648e-32,12,348,0
1,17,-1,2,1,0.0,2.465190328815662e-32,9,331,0
1,18,-1,2,1,0.0,6.162975822039155e-33,8,300,0
1,19,-1,2,1,1.5543122344752192e-15,9.860761315262648e-32,18,508,0
1,20,-1,2,1,0.0,2.465190328815662e-32,14,380,0
1,21,-1,2,1,2.220446049250313e-16,9.860761315262648e-32,10,331,0
1,22,-1,2,1,0.0,2.465190328815662e-32,13,364,0
1,23,-1,1,1,5.551115123125783e-15,0.0,27,651,0
1,24,-1,2,1,2.220446049250313e-16,0.0,14,475,0
