ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
4,0,0.5,6,1,0.016602127159779934,0.01660212715977627,36,1625,0
4,0,0.5,6,3,4.832018347000755e-05,1.070373172205787e-05,189,10411,2
4,1,0.5,6,1,0.08219540820943982,0.08219540820943866,46,1300,0
4,1,0.5,6,3,5.611999753796226e-11,5.401800490869536e-11,130,5809,0
4,2,0.5,4,1,0.009377634519127986,0.00937763451912604,36,1050,0
4,2,0.5,4,2,0.00012313311035239138,0.00012309217067643733,74,2790,2
4,3,0.5,4,1,0.10696166444592092,0.10696166444506369,81,3312,0
4,3,0.5,4,2,6.94348509111542e-06,6.924179308196497e-06,69,2604,2
4,4,0.5,4,1,0.01631244202150639,0.016312442021506,44,1275,0
4,4,0.5,4,2,9.156572856017231e-05,9.153054029540031e-05,79,3670,2
4,5,0.5,5,1,0.007534090594741416,0.0075340905940971484,80,2525,0
4,5,0.5,5,3,0.00025114950746907283,3.833406473851179e-06,205,8843,2
4,6,0.5,5,1,0.006584277736022326,0.006584277731187856,83,2650,0
4,6,0.5,5,3,5.363344329323283e-06,1.723369536943751e-07,278,12553,2
4,7,0.5,4,1,0.000961092106065653,0.0009610921060449926,74,2625,0
4,7,0.5,4,2,2.930356755914687e-06,2.9296165963744164e-06,106,5406,0
4,8,0.5,4,1,0.003538597869904292,0.0035385978698466622,42,1350,0
4,8,0.5,4,2,0.0004256790434480351,0.00017788967512089135,125,4309,2
4,9,0.5,4,1,0.002093520119150094,0.0020935201191493264,40,1050,0
4,9,0.5,4,2,2.1351457379914507e-08,2.106364844917288e-08,123,4743,0
4,10,0.5,4,1,0.022297541525723608,0.022297541525719722,44,1200,0
4,10,0.5,4,2,0.00014545841421009786,0.00014320078434348487,124,4340,2
4,11,0.5,4,1,0.1309617598276701,0.13096175982766778,62,1800,0
4,11,0.5,4,2,2.339578197840808e-09,2.3395738344131317e-09,100,3751,0
4,12,0.5,4,1,0.006594866878590455,0.006594866878588571,47,1500,0
4,12,0.5,4,2,4.671405618694724e-05,4.558046675609701e-05,81,3069,2
4,13,0.5,5,1,0.060560046764832176,0.060560046764832114,57,2412,0
4,13,0.5,5,3,7.281318310514706e-07,6.925144280381866e-07,142,5698,2
4,14,0.5,4,1,0.0014198598583805566,0.001419859858380115,36,975,0
4,14,0.5,4,2,1.8197795625951585e-07,1.8185426055093664e-07,148,7081,0
4,15,0.5,4,1,0.0024616299123814134,0.002461629912380102,40,1250,0
4,15,0.5,4,2,5.803002522952738e-11,5.647748957317286e-11,193,7316,0
4,16,0.5,3,1,0.0016558318290276208,0.0016558318290228879,44,1475,0
4,16,0.5,3,2,2.7611480050815373e-05,2.65359056078339e-05,193,7285,2
4,17,0.5,4,1,0.01166120857796571,0.011661208577964198,64,1925,0
4,17,0.5,4,2,1.9889473181766704e-05,1.8837195076911004e-05,220,7688,2
4,18,0.5,4,1,0.00950962018909074,0.009509620188616464,58,2384,0
4,18,0.5,4,2,0.0019727306890453544,4.71584254570904e-05,198,7781,2
4,19,0.5,4,1,0.0056701299890860035,0.005670129989079634,75,2650,0
4,19,0.5,4,2,0.0004690930257806869,3.23400680962732e-05,123,5529,2
4,20,0.5,4,1,0.05560394590566908,0.05560394590566778,38,1887,0
4,20,0.5,4,2,2.2769532031396977e-05,2.2769522879544565e-05,84,4568,0
4,21,0.5,4,1,0.0031176519973525885,0.00311765199735023,61,1675,0
4,21,0.5,4,2,0.00012019743450797371,0.00011684765578609551,203,7037,2
4,22,0.5,4,1,0.0886897089444526,0.0886897089444498,52,2050,0
4,22,0.5,4,2,1.6173196325519612e-06,1.6132699912821481e-06,82,3379,0
4,23,0.5,2,1,0.0001984479405174877,0.00019844794041554533,86,3761,0
4,24,0.5,8,1,0.047940281573908394,0.0479402815739072,71,1875,0
4,24,0.5,8,3,0.00018720879476152863,4.219506344355756e-05,150,5994,2
